,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,400.0
8,4400.0
9,16700.0
10,15000.0
11,29600.0
12,30400.0
13,25900.0
14,18400.0
15,7200.0
16,300.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,500.0
32,5000.0
33,18700.0
34,23900.0
35,28300.0
36,24200.0
37,18800.0
38,18200.0
39,8000.0
40,600.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,200.0
56,2800.0
57,7200.0
58,9000.0
59,7700.0
60,5500.0
61,4100.0
62,2700.0
63,1100.0
64,200.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,100.0
80,800.0
81,2200.0
82,3900.0
83,4200.0
84,6700.0
85,7800.0
86,5300.0
87,2100.0
88,100.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,400.0
104,6900.0
105,14700.0
106,22600.0
107,27400.0
108,28900.0
109,22500.0
110,11800.0
111,4100.0
112,300.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,300.0
128,5200.0
129,9700.0
130,10900.0
131,12800.0
132,13700.0
133,14800.0
134,8800.0
135,3500.0
136,300.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,1400.0
153,4800.0
154,10000.0
155,15500.0
156,15000.0
157,13500.0
158,4200.0
159,2300.0
160,500.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,100.0
176,3000.0
177,10300.0
178,17800.0
179,17700.0
180,16100.0
181,16700.0
182,18200.0
183,7100.0
184,500.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,200.0
200,1900.0
201,5500.0
202,7800.0
203,9800.0
204,8700.0
205,6200.0
206,4400.0
207,2300.0
208,200.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,200.0
224,2300.0
225,7100.0
226,13500.0
227,13800.0
228,31600.0
229,30200.0
230,20300.0
231,9300.0
232,1000.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,400.0
248,7100.0
249,11200.0
250,19600.0
251,20100.0
252,18500.0
253,20300.0
254,13300.0
255,6800.0
256,700.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,200.0
272,1500.0
273,3200.0
274,6300.0
275,11400.0
276,15000.0
277,6000.0
278,7200.0
279,2100.0
280,200.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,100.0
296,1600.0
297,4900.0
298,5600.0
299,8700.0
300,6700.0
301,6700.0
302,4900.0
303,1800.0
304,200.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,200.0
320,4600.0
321,9200.0
322,11700.0
323,11000.0
324,16100.0
325,12700.0
326,8400.0
327,5200.0
328,900.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,500.0
344,7300.0
345,11200.0
346,11300.0
347,16200.0
348,22900.0
349,27200.0
350,12800.0
351,8000.0
352,1200.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,400.0
368,4900.0
369,14100.0
370,21000.0
371,23400.0
372,34000.0
373,32800.0
374,23300.0
375,10800.0
376,1600.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,800.0
392,7800.0
393,20400.0
394,24100.0
395,21400.0
396,19500.0
397,20000.0
398,10700.0
399,3500.0
400,600.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,200.0
416,2500.0
417,7100.0
418,10600.0
419,15500.0
420,9500.0
421,7600.0
422,4800.0
423,3300.0
424,500.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,600.0
440,8800.0
441,21000.0
442,30500.0
443,38000.0
444,38900.0
445,34000.0
446,24500.0
447,10400.0
448,1800.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,700.0
464,4700.0
465,18900.0
466,20000.0
467,27700.0
468,36800.0
469,33700.0
470,24500.0
471,11500.0
472,1800.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,700.0
488,7300.0
489,14400.0
490,21700.0
491,27300.0
492,26400.0
493,29400.0
494,11700.0
495,9200.0
496,2400.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,200.0
512,1500.0
513,4800.0
514,12000.0
515,17600.0
516,24300.0
517,35600.0
518,26800.0
519,13200.0
520,2200.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,300.0
536,3800.0
537,13400.0
538,22600.0
539,31500.0
540,28800.0
