,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,700.0
8,7800.0
9,15800.0
10,15900.0
11,10500.0
12,5200.0
13,11900.0
14,10100.0
15,6700.0
16,800.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,800.0
32,8900.0
33,26000.0
34,41100.0
35,47800.0
36,48400.0
37,41800.0
38,26300.0
39,9800.0
40,1500.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,600.0
56,7400.0
57,16400.0
58,31200.0
59,48700.0
60,49200.0
61,45100.0
62,30400.0
63,12000.0
64,500.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,100.0
80,800.0
81,2600.0
82,8400.0
83,13000.0
84,18200.0
85,17000.0
86,7600.0
87,4300.0
88,700.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,1000.0
104,9300.0
105,24700.0
106,44000.0
107,48300.0
108,34100.0
109,31900.0
110,20500.0
111,5900.0
112,1100.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,1000.0
128,9300.0
129,24700.0
130,45000.0
131,51300.0
132,51100.0
133,44900.0
134,33400.0
135,16700.0
136,2200.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,800.0
152,14200.0
153,29500.0
154,40400.0
155,47300.0
156,48600.0
157,41000.0
158,28800.0
159,12100.0
160,2700.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,300.0
176,12300.0
177,30100.0
178,45100.0
179,51200.0
180,47000.0
181,22500.0
182,31700.0
183,20400.0
184,3000.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,1000.0
200,10800.0
201,23000.0
202,27200.0
203,26000.0
204,25000.0
205,16900.0
206,12300.0
207,18600.0
208,2800.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,600.0
224,6300.0
225,29000.0
226,44200.0
227,48900.0
228,49600.0
229,31400.0
230,21700.0
231,15100.0
232,1900.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,1400.0
248,14700.0
249,23100.0
250,39100.0
251,39000.0
252,47300.0
253,25700.0
254,21200.0
255,10200.0
256,2800.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,700.0
272,14200.0
273,30100.0
274,42100.0
275,49000.0
276,49400.0
277,43400.0
278,32800.0
279,18100.0
280,2800.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,900.0
296,14900.0
297,30000.0
298,42300.0
299,49300.0
300,50000.0
301,44800.0
302,34000.0
303,17100.0
304,4000.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,800.0
320,14800.0
321,30600.0
322,42600.0
323,49300.0
324,50000.0
325,44900.0
326,34100.0
327,19400.0
328,3400.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1000.0
344,7900.0
345,30000.0
346,41200.0
347,41800.0
348,50600.0
349,45400.0
350,36000.0
351,17400.0
352,3000.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1300.0
368,17200.0
369,30800.0
370,29800.0
371,44900.0
372,56800.0
373,41600.0
374,32000.0
375,7000.0
376,2500.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,1000.0
392,8100.0
393,13600.0
394,6600.0
395,6600.0
396,13000.0
397,14200.0
398,10400.0
399,6400.0
400,1400.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,1300.0
416,15700.0
417,32600.0
418,46000.0
419,53500.0
420,54400.0
421,48900.0
422,37300.0
423,21200.0
424,5000.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,1000.0
440,15700.0
441,32700.0
442,45600.0
443,53500.0
444,52600.0
445,44300.0
446,40400.0
447,20700.0
448,1500.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,1000.0
464,4800.0
465,24700.0
466,45600.0
467,52200.0
468,54400.0
469,48900.0
470,31300.0
471,22000.0
472,5400.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,1200.0
488,16000.0
489,32300.0
490,45500.0
491,52900.0
492,44400.0
493,38100.0
494,37000.0
495,17400.0
496,1700.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1000.0
512,10100.0
513,3300.0
514,3300.0
515,4800.0
516,5700.0
517,10500.0
518,11700.0
519,10200.0
520,2600.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,3500.0
536,15100.0
