,irrad
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,100.0
512,3600.0
513,9000.0
514,18200.0
515,25900.0
516,27700.0
517,14600.0
518,8300.0
519,6300.0
520,1800.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,300.0
536,4800.0
537,13000.0
538,19100.0
539,31100.0
540,27100.0
541,16900.0
542,10400.0
543,9300.0
544,4800.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,1700.0
560,17200.0
561,29200.0
562,39800.0
563,45400.0
564,37600.0
565,34300.0
566,25900.0
567,11900.0
568,2100.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,100.0
584,2500.0
585,6900.0
586,15000.0
587,13400.0
588,15200.0
589,8600.0
590,7400.0
591,4100.0
592,1100.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,400.0
608,4700.0
609,7900.0
610,26600.0
611,33000.0
612,28500.0
613,29000.0
614,13200.0
615,8200.0
616,1200.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,100.0
632,5000.0
633,15500.0
634,13600.0
635,21000.0
636,26800.0
637,28600.0
638,10900.0
639,6900.0
640,3100.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,700.0
656,4700.0
657,11300.0
658,15200.0
659,15600.0
660,15100.0
661,28100.0
662,21200.0
663,9700.0
664,2500.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,1500.0
680,2900.0
681,18600.0
682,23700.0
683,13900.0
684,22100.0
685,10700.0
686,9600.0
687,3800.0
688,2900.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,5900.0
704,20200.0
705,32700.0
706,43800.0
707,50400.0
708,51100.0
709,46100.0
710,34900.0
711,21800.0
712,5700.0
713,100.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,4000.0
728,12800.0
729,27000.0
730,35800.0
731,39900.0
732,35000.0
733,30200.0
734,30200.0
735,13200.0
736,4300.0
737,200.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,4700.0
752,21100.0
753,30300.0
754,33200.0
755,34800.0
756,41600.0
757,37200.0
758,31900.0
759,22200.0
760,7100.0
761,200.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,6000.0
776,19900.0
777,33800.0
778,43800.0
779,51100.0
780,48300.0
781,23800.0
782,34600.0
783,20900.0
784,6300.0
785,100.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
