,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,400.0
8,11700.0
9,28100.0
10,40900.0
11,49100.0
12,46000.0
13,38500.0
14,30900.0
15,16400.0
16,3800.0
17,100.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,400.0
32,7300.0
33,16400.0
34,37800.0
35,46500.0
36,40000.0
37,33800.0
38,21100.0
39,11900.0
40,3900.0
41,100.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,400.0
56,7900.0
57,16800.0
58,33700.0
59,44300.0
60,36200.0
61,45200.0
62,34800.0
63,15900.0
64,3300.0
65,100.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,200.0
80,2700.0
81,5900.0
82,12700.0
83,17200.0
84,12200.0
85,15700.0
86,8600.0
87,10000.0
88,3600.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,1400.0
105,2000.0
106,4200.0
107,9000.0
108,17000.0
109,18800.0
110,16400.0
111,9100.0
112,3100.0
113,100.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,100.0
128,6100.0
129,21100.0
130,37700.0
131,47700.0
132,51400.0
133,47900.0
134,39300.0
135,25700.0
136,6700.0
137,200.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,300.0
152,4100.0
153,7400.0
154,13400.0
155,15100.0
156,9200.0
157,9400.0
158,5100.0
159,3800.0
160,1400.0
161,100.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,200.0
176,3100.0
177,8800.0
178,13100.0
179,16000.0
180,19100.0
181,13900.0
182,20700.0
183,9000.0
184,3800.0
185,200.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,300.0
200,5100.0
201,19000.0
202,38200.0
203,25600.0
204,43000.0
205,45400.0
206,29000.0
207,11600.0
208,4900.0
209,400.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,200.0
224,4000.0
225,8500.0
226,10600.0
227,14800.0
228,15300.0
229,13200.0
230,15700.0
231,10000.0
232,4000.0
233,100.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,300.0
248,3400.0
249,9200.0
250,15500.0
251,28000.0
252,42700.0
253,40000.0
254,37800.0
255,6400.0
256,2000.0
257,100.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,300.0
272,5600.0
273,15600.0
274,37400.0
275,55000.0
276,55200.0
277,49300.0
278,40300.0
279,16600.0
280,5400.0
281,300.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,300.0
296,12300.0
297,27700.0
298,40700.0
299,47700.0
300,38200.0
301,28300.0
302,18000.0
303,8100.0
304,2800.0
305,100.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,500.0
320,12000.0
321,27600.0
322,40200.0
323,47600.0
324,52000.0
325,51600.0
326,37400.0
327,13500.0
328,5700.0
329,200.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,400.0
344,6100.0
345,16700.0
346,30000.0
347,25000.0
348,27600.0
349,30000.0
350,17700.0
351,5800.0
352,4100.0
353,300.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,400.0
368,6600.0
369,23700.0
370,29000.0
371,43700.0
372,45300.0
373,21300.0
374,18400.0
375,13400.0
376,3800.0
377,300.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,500.0
392,11600.0
393,29400.0
394,38100.0
395,41500.0
396,55300.0
397,46100.0
398,35200.0
399,29600.0
400,11000.0
401,400.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,400.0
416,12400.0
417,29600.0
418,43100.0
419,51700.0
420,54600.0
421,50500.0
422,39300.0
423,28400.0
424,12100.0
425,400.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,800.0
440,13100.0
441,27900.0
442,35700.0
443,47400.0
444,41300.0
445,53100.0
446,42600.0
447,18200.0
448,6600.0
449,400.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,600.0
464,7500.0
465,18000.0
466,32200.0
467,46300.0
468,48100.0
469,42400.0
470,35400.0
471,19600.0
472,6500.0
473,400.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,500.0
488,6700.0
489,13900.0
490,21100.0
491,30600.0
492,30600.0
493,43600.0
494,30300.0
495,12900.0
496,4200.0
497,600.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,400.0
512,3600.0
513,27600.0
514,45000.0
515,54000.0
516,56100.0
517,53300.0
518,45000.0
519,31800.0
520,12900.0
521,500.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,700.0
536,9000.0
537,18300.0
538,25800.0
