,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2000.0
8,10600.0
9,25100.0
10,35300.0
11,40300.0
12,38400.0
13,31400.0
14,14100.0
15,5400.0
16,500.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,600.0
32,4100.0
33,9900.0
34,7800.0
35,10400.0
36,19600.0
37,17300.0
38,10200.0
39,3900.0
40,300.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,100.0
56,0.0
57,0.0
58,800.0
59,9100.0
60,9600.0
61,9100.0
62,17700.0
63,10200.0
64,300.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,100.0
80,2100.0
81,5000.0
82,7600.0
83,13200.0
84,9700.0
85,11100.0
86,7400.0
87,4600.0
88,800.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,500.0
104,3800.0
105,19200.0
106,26600.0
107,20400.0
108,22900.0
109,24500.0
110,12500.0
111,5900.0
112,900.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,1600.0
128,13400.0
129,27100.0
130,38100.0
131,44200.0
132,44200.0
133,38100.0
134,28600.0
135,12300.0
136,1200.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,1700.0
152,14600.0
153,28800.0
154,40000.0
155,46400.0
156,46200.0
157,39700.0
158,28400.0
159,14300.0
160,1700.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,1400.0
176,14400.0
177,30500.0
178,19000.0
179,15200.0
180,7100.0
181,5300.0
182,3800.0
183,1500.0
184,100.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,100.0
200,2600.0
201,5400.0
202,12300.0
203,10200.0
204,8600.0
205,7600.0
206,5000.0
207,1700.0
208,200.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,400.0
224,7800.0
225,26600.0
226,38600.0
227,45000.0
228,44800.0
229,38800.0
230,28000.0
231,14400.0
232,1800.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,1100.0
248,8000.0
249,15200.0
250,38700.0
251,46700.0
252,38600.0
253,40100.0
254,28700.0
255,13200.0
256,1000.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,2200.0
272,15500.0
273,26600.0
274,39300.0
275,46800.0
276,35400.0
277,26300.0
278,16400.0
279,9400.0
280,100.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,1000.0
296,4500.0
297,12300.0
298,13500.0
299,15700.0
300,28500.0
301,36000.0
302,23600.0
303,7000.0
304,1300.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,2000.0
320,15700.0
321,21100.0
322,24400.0
323,29100.0
324,30000.0
325,22700.0
326,15600.0
327,7400.0
328,3100.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1700.0
344,10900.0
345,10400.0
346,15100.0
347,15800.0
348,17300.0
349,20800.0
350,11400.0
351,9400.0
352,1100.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,3100.0
368,5800.0
369,8600.0
370,20600.0
371,25100.0
372,25800.0
373,21700.0
374,12700.0
375,8400.0
376,1300.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,600.0
392,5200.0
393,6000.0
394,7300.0
395,9300.0
396,8300.0
397,4100.0
398,2200.0
399,600.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,900.0
416,6000.0
417,13900.0
418,24600.0
419,38100.0
420,45800.0
421,37700.0
422,24500.0
423,17200.0
424,3100.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,1000.0
440,6300.0
441,6400.0
442,8300.0
443,5900.0
444,2400.0
445,4900.0
446,7300.0
447,5700.0
448,1200.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,2800.0
464,17700.0
465,33900.0
466,46900.0
467,54300.0
468,55000.0
469,48600.0
470,36400.0
471,20800.0
472,4500.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,2300.0
488,15900.0
489,32800.0
490,45800.0
491,53000.0
492,54100.0
493,47200.0
494,35900.0
495,19700.0
496,4700.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1300.0
512,7400.0
513,16300.0
514,19200.0
515,25300.0
516,32000.0
517,29000.0
518,14700.0
519,11300.0
520,3000.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,2800.0
536,18800.0
537,26700.0
