,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,100.0
8,2600.0
9,9400.0
10,17900.0
11,20800.0
12,24700.0
13,18300.0
14,11500.0
15,10000.0
16,3800.0
17,200.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,200.0
32,2800.0
33,7300.0
34,14000.0
35,19800.0
36,26200.0
37,23600.0
38,14700.0
39,13200.0
40,4400.0
41,200.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,200.0
56,5300.0
57,23800.0
58,40600.0
59,49900.0
60,53100.0
61,49500.0
62,40300.0
63,25600.0
64,9500.0
65,300.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,100.0
80,1700.0
81,4800.0
82,7300.0
83,9300.0
84,10500.0
85,11200.0
86,9400.0
87,8600.0
88,3100.0
89,200.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,100.0
104,2000.0
105,14900.0
106,26300.0
107,25000.0
108,26200.0
109,23400.0
110,10500.0
111,16400.0
112,8200.0
113,300.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,200.0
128,2800.0
129,7100.0
130,10200.0
131,38700.0
132,52700.0
133,48600.0
134,39700.0
135,25400.0
136,9900.0
137,300.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,200.0
152,6100.0
153,20300.0
154,40800.0
155,44000.0
156,27000.0
157,24000.0
158,17800.0
159,14600.0
160,5100.0
161,200.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,1000.0
177,2100.0
178,3300.0
179,3100.0
180,2200.0
181,1600.0
182,1400.0
183,1500.0
184,600.0
185,100.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,200.0
200,6300.0
201,27500.0
202,28600.0
203,40800.0
204,53800.0
205,39900.0
206,39100.0
207,24400.0
208,10400.0
209,400.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,300.0
224,10300.0
225,27400.0
226,41900.0
227,50900.0
228,54200.0
229,50900.0
230,41600.0
231,27100.0
232,10800.0
233,400.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,300.0
248,12100.0
249,27500.0
250,39700.0
251,45400.0
252,41200.0
253,34800.0
254,25400.0
255,11600.0
256,3800.0
257,200.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,100.0
272,3300.0
273,10100.0
274,23200.0
275,23400.0
276,17400.0
277,19200.0
278,20400.0
279,19100.0
280,9400.0
281,400.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,300.0
296,15100.0
297,30800.0
298,40500.0
299,49900.0
300,53000.0
301,49000.0
302,40400.0
303,26800.0
304,10900.0
305,500.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,200.0
320,10100.0
321,17600.0
322,29100.0
323,37500.0
324,35200.0
325,12700.0
326,10200.0
327,7200.0
328,3900.0
329,200.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,200.0
344,6400.0
345,10600.0
346,8200.0
347,16600.0
348,30000.0
349,38400.0
350,33500.0
351,26100.0
352,9900.0
353,900.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,100.0
368,4300.0
369,8300.0
370,12300.0
371,15300.0
372,20400.0
373,20300.0
374,13300.0
375,10800.0
376,6400.0
377,600.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,300.0
392,6500.0
393,10500.0
394,18000.0
395,12100.0
396,34900.0
397,45500.0
398,37500.0
399,19700.0
400,9100.0
401,600.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,1000.0
417,3300.0
418,9000.0
419,7900.0
420,5700.0
421,6100.0
422,5300.0
423,7000.0
424,4500.0
425,700.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,100.0
440,2000.0
441,8000.0
442,9700.0
443,16000.0
444,9900.0
445,7300.0
446,10100.0
447,4900.0
448,2000.0
449,100.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,200.0
464,1500.0
465,2200.0
466,6700.0
467,10600.0
468,10400.0
469,6700.0
470,3400.0
471,6700.0
472,3700.0
473,200.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,500.0
488,6300.0
489,31100.0
490,45000.0
491,55300.0
492,58300.0
493,55100.0
494,46000.0
495,31700.0
496,14600.0
497,1400.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,700.0
512,7900.0
513,21000.0
514,46000.0
515,59600.0
516,56400.0
517,56100.0
518,47200.0
519,32200.0
520,12400.0
521,700.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,300.0
536,13100.0
537,37000.0
538,44600.0
